"text","narrator","source","grade"
"أيها الناسُ إنه لم يَبقَ من مُبَشِّراتِ النُّبُوَّةِ إلا الرؤيا الصالحةُ ، يراها المسلمُ أو تُرى له ، ألا و إني نهيتُ أن أقرأَ القرآنَ راكعًا أو ساجدًا ، فأما الركوعُ فعَظِّموا فيه الربَّ ، و أما السُّجودُ فاجتَهِدوا في الدعاءِ ، فقَمِنٌ أن يُستجابَ لكم.","عبدالله بن عباس","صحيح الجامع","صحيح"
"عن عائشةَ أنَّ رسولَ اللهِ كان يُكْثِرُ أن يقولَ : يامُثَبِّتَ القلوبِ ثبِّتْ قلبي على دينِكَ قلتُ : يا رسولَ اللهِ ، إِنَّكَ تُكْثِرُ أن تدعوَ بهذا الدعاءِ فهل تخافُ ؟ قال نعم وما يُؤَمِنِّي أيْ عائشةُ وقلوبُ العبادِ بينَ إصبعينِ من أصابعِ الرحمنِ ؟.","عائشة أم المؤمنين","تخريج كتاب السنة","صحيح"
"قالتْ عائشةُ قُصَّ في الجمعةِ مرةً، فإنْ أبيتَ فمرتينِ، فإنْ أبيتَ فثلاثًا، ولا أَلْفيَنَّكَ تأتي القومَ وهُمْ في حديثِهِمْ فتقطعَهُ عليهِمْ، ولكنْ إِنِ استمَعوا حديثَكَ فحدِّثْهُمْ، واجتنبْ السجعَ في الدعاءِ ، فإني عهدْتُ النبيَّ صلَّى اللهُ عليهِ وسلَّمَ وأصحابَهُ يكرهونَ ذلكَ.","ابن أبي السائب","صحيح الموارد","صحيح لغيره"
"كان رسولُ اللهِ صلَّى اللهُ عليه وسلَّمَ يَرفَعُ يَدَيْه في الدُّعاءِ حتى يُرى بَياضُ إبْطَيهِ، فذَكَرتُ ذلكَ لعَليِّ بنِ زَيدٍ فقال: إنَّما ذاكَ في الاستِسقاءِ قال: قلتُ: أسَمِعتَه مِن أنَسٍ؟ قال: سُبحانَ اللهِ قال: قلتُ: أسَمِعتَه منه؟ قال: سُبحانَ اللهِ.","أنس بن مالك","تخريج المسند لشعيب","إسناده صحيح على شرط مسلم"
"حديث ابنِ مَسعودٍ رَضِي اللهُ عنه حِين ذكَرَ التَّشهُّدَ، قال: ثمَّ يَتخيَّرْ مِن الدُّعاءِ ما شاءَ. [يعني حديث: كنا إذا صلينا خلفَ رسولِ اللهِ صلَّى اللهُ عليهِ وسلمَ يقولُ الرجلُ منا في صلاتِه : السلامُ على اللهِ السلامُ على فلانٍ يخصُّ فقال لنا رسولُ اللهِ صلَّى اللهُ عليهِ وسلمَ ذاتَ يومٍ : إن اللهَ عزَّ وجلَّ هو السلامُ فإذا قعد أحدُكم في صلاتِه فليقلْ : التحياتُ للهِ والصلواتُ والطيباتُ السلامُ عليك أيُّها النبيُّ ورحمةُ اللهِ وبركاتُه السلامُ علينا وعلى عبادِ اللهِ الصالحينَ فإذا قلتم ذلك فقد سلَّمتم على كلِّ عبدٍ في السمواتِ والأرضِ أشهدُ أن لا إلهَ إلا اللهُ وأشهدُ أن محمدًا عبدُه ورسولُه ثم يتخيرُ بعدُ من الدعاءِ ما شاء أو ما أحبَّ].","عبدالله بن مسعود","فتاوى نور على الدرب لابن عثيمين","[صحيح]"
"يا رسولَ اللهِ، علِّمْني دُعاءً أَدْعو به؛ يَرُدُّ اللهُ عَلَيَّ بَصري، فقالَ له: قُلِ اللَّهُمَّ إنِّي أَسألُكَ، وأَتوجَّهُ إليكَ بنبيِّكَ نبيِّ الرَّحمةِ، يا مُحمَّدُ، إنِّي قد تَوجَّهتُ بكَ إلى ربِّي، اللَّهُمَّ شفِّعْهُ في، وشفِّعْني في نَفسي. فدَعا بهذا الدُّعاءِ ، فَقامَ وقد أَبْصَرَ.","عثمان بن حنيف","المستدرك على الصحيحين","[سكت عنه وقال في المقدمة رواته ثقات احتج بمثله الشيخان أو أحدهما]"
"سُئلَ عبدُ اللهِ رَضيَ اللهُ عنه عنِ الدُّعاءِ الَّذي دَعوتَ به حينَ قالَ النَّبيُّ صلَّى اللهُ عليه وسلَّمَ: سَلْ تُعطَهْ، قالَ: قلتُ: اللَّهُمَّ إنِّي أَسألُكَ إيمانًا لا يَرتدُّ، ونَعيمًا لا يَنفَدُ، ومُرافقةَ نبيِّكَ مُحمَّدٍ صلَّى اللهُ عليه وسلَّمَ في أَعْلى دَرَجِ الجنَّةِ؛ جَنَّةِ الخُلدِ.","عبدالله","المستدرك على الصحيحين","صحيح الإسناد"
"عن صلاةِ رسولِ اللهِ _ صلَّى اللهُ عليه وسلَّم _ في الاستسقاءِ , فقال : خرج رسولُ اللهِ _ صلَّى اللهُ عليه وسلَّم _ متبذلًا متواضعًا متضرِّعًا حتَّى أتَى المصلَّى فرقَى على المنبرِ , ولم يخطُبْ خُطبَكم هذه , ولكن لم يزلْ في الدُّعاءِ والتَّضرُّعِ والتَّكبيرِ , ثمَّ صلَّى ركعتين كما يصلِّي في العيدِ.","عبدالله بن عباس","الأحكام الشرعية الصغرى","[أشار في المقدمة أنه صحيح الإسناد]"
"كنَّا لا نَدري ما نَقولُ بينَ كلِّ رَكْعتينِ غيرَ أن نسبِّحَ ونُكَبِّرَ ونَحمدَ ربَّنا عزَّ وجلَّ، وإنَّ محمَّدًا أوتيَ فواتحَ الكلِمِ وجَوامِعَهُ أو قالَ: وخواتِمَهُ - فقالَ: إذا قَعدتُم في الرَّكعتينِ فَقولوا – فذكر التشَهُّدَ – ثمَّ يَتخيَّرُ أحدُكُم مِنَ الدُّعاءِ أعجبَهُ إليهِ فيَدعو بِهِ ربَّهُ عزَّ وجلَّ.","عبدالله","نخب الافكار","طريقه صحيح"
"كنَّا لا ندري ما نقولُ في كلِّ ركعتينِ غيرَ أنْ نُسبِّحَ ونُكبِّر ونحمدَ ربِّنا ، وإنَّ محمدًا صلَّى اللهُ عليه وسلَّم علَّمَ فواتحَ الخيرِ وخواتمَهُ فقال : إذا قعدتُم في كلِّ ركعتينِ فقولوا : التحياتُ للهِ . . . إلخ ، وليتخيَّرْ أحدُكم من الدعاءِ أعجبَهُ إليه فليدعُ اللهَ عزَّ وجلَّ به.","عبدالله بن مسعود","أصل صفة الصلاة","إسناده صحيح على شرط مسلم"
"إذا قعدتُم في كلِّ رَكعتينِ فقولوا التَّحيَّاتُ [للهِ، والصَّلواتُ، والطَّيِّباتُ، السَّلامُ عليكَ أيُّها النبيُّ ورحمةُ اللهِ وبركاتُهُ، السَّلامَ علينا وعلى عبادِ اللهِ الصالحينَ، أشهَدُ أنْ لا إلهَ إلَّا اللهُ، وأشهَدُ أنَّ مُحمَّدًا عبدُهُ ورسولُهُ،] وليتخيَّر أحدُكم منَ الدُّعاءِ أعجبَهُ إليْهِ فليدعُ اللَّهَ عزَّ وجلَّ به.","[عبدالله بن مسعود]","صفة الصلاة","إسناده صحيح"
"سمِع عبدُ اللهِ بنُ المُغفَّلِ ابنًا له وهو يقولُ : اللَّهمَّ إنِّي أسأَلُ القصرَ الأبيضَ عن يمينِ الجنَّةِ قال : يا بُنيَّ إذا سأَلْتَ فاسأَلِ اللهَ الجنَّةَ وتعوَّذْ به مِن النَّارِ فإنِّي سمِعْتُ رسولَ اللهِ صلَّى اللهُ عليه وسلَّم يقولُ : ( يكونُ في آخِرِ الزَّمانِ قومٌ يعتدونَ في الدُّعاءِ والطُّهورِ ).","عبدالله بن مغفل","صحيح ابن حبان","أخرجه في صحيحه"
"سَمِعَ عبدُ اللهِ بنُ مُغفَّلٍ ابنًا له وهو يقولُ: اللهمَّ إنِّي أسأَلُك القَصرَ الأبيضَ عن يَمينِ الجَنَّةِ إذا دَخَلتُها، فقال: يا بُنَيَّ سَلِ اللهَ الجَنَّةَ، وتَعوَّذْ به من النارِ، فإنِّي سَمِعتُ النَّبيَّ عليه السَّلامُ يقولُ: إنه سيكونُ في هذه الأُمَّةِ قومٌ يَعتَدون في الطُّهورِ، وفي الدُّعاءِ.","عبدالله بن مغفل","شرح ابن ماجه لمغلطاي","إسناده صحيح"
"ادعُ اللهَ أنْ يُعافِيَني ! فقال : إنْ شِئْتَ دعوتُ, وإنْ شِئْتَ صبرتَ ؛ فهو خيرٌ لك ، قال : فادْعُه ! قال : فأمره أن يتوضأَ فَيُحْسِنَ الوُضوءَ, ويَدْعُوَ بهذا الدعاءِ : اللهم ! إني أسألُك وأَتَوَجَّهُ إليك بِنَبِيِّك مُحَمَّدٍ نبيِّ الرحمةِ, إني توجهتُ بك إلى رَبِّي ؛ لِيَقْضِيَ لي في حاجتي هذه, اللهم ! فَشَفِّعْه فِيَّ.","عثمان بن حنيف","هداية الرواة","إسناده صحيح"
"أنَّ عبدَ اللهِ بنَ المُغفَّلِ سمِع ابنًا له يقولُ في دعائِه : اللَّهمَّ إنِّي أسأَلُك القصرَ الأبيضَ عن يمينِ الجنَّةِ إذا دخَلْتُها قال : أيْ بُنَيَّ سَلِ اللهَ الجنَّةَ وتعوَّذْ به مِن النَّارِ فإنِّي سمِعْتُ النَّبيَّ صلَّى اللهُ عليه وسلَّم يقولُ : ( سيكونُ في هذه الأمَّةِ قومٌ يعتَدونَ في الدُّعاءِ والطُّهورِ ).","عبدالله بن مغفل","صحيح ابن حبان","[روي من طريقين محفوظين]"
"كشفَ النَّبيُّ السِّتارةَ ، والنَّاسُ صفوفٌ خلفَ أبي بَكرٍ ، فقالَ : أيُّها النَّاسُ ، إنَّهُ لم يبقَ من مبشِّراتِ النُّبوَّةِ إلَّا الرُّؤيا الصَّالحةُ يراها المسلمُ أو تُرَى لَه ثمَّ قالَ ألا إنِّي نُهيتُ أن أقرأ راكعًا أو ساجدًا فأمَّا الرُّكوعُ فعظِّموا فيهِ الرَّبَّ وأمَّا السُّجودُ فاجتَهدوا في الدُّعاءِ قَمِنٌ أن يُستجابَ لَكم.","عبدالله بن عباس","صحيح النسائي","صحيح"
"إن السُّنَّةَ في الصلاةِ على الجِنازةِ أن يُكبِّرَ الإمامُ ثم يقرأُ بفاتحةِ الكتابِ بعدَ التكبيرةِ الأُولَى ويقرأُ في نفسِه ثم يُصلِّى على النبيِّ ويخلِصُ الدعاءَ للجِنازةِ في التكبيرَتَينِ ولا يقرأْ في شيءٍ منهنَّ ثم يُسلِّمُ سرًّا في نفسِه السنةُ أن يفعلَ مَن وراءَ الإمامِ مثلَ ما يفعلُ إمامُهم.","رجل من أصحاب النبي صلى الله عليه وسلم","إرواء الغليل","صحيح"
"قالَ: كشفَ النَّبيُّ صلَّى اللَّهُ عليهِ وسلَّمَ السِّتارةَ والنَّاسُ صفوفٌ خلفَ أبي بَكْرٍ، فقالَ: أيُّها النَّاسُ إنَّهُ لم يبقَ من مبشِّراتِ النُّبوَّةِ إلَّا الرُّؤيا الصَّالحةُ، يَراها المسلمُ، أو تُرى لَهُ، ألا إنِّي نُهيتُ أن أقرأَ راكعًا أو ساجدًا، فأمَّا الرُّكوعُ فعظِّموا فيهِ الرَّبَّ، وأمَّا السُّجودُ فاجتَهِدوا في الدُّعاءِ فقمِنٌ أن يُستَجابَ لَكُم.","عبدالله بن عباس","صحيح ابن خزيمة","أخرجه في صحيحه"
"كشَف رسولُ اللهِ صلَّى اللهُ عليه وسلَّم السِّتارةَ والنَّاسُ صفوفٌ خَلْفَ أبي بكرٍ فقال : ( أيُّها النَّاسُ إنَّه لَمْ يَبْقَ مِن مُبشِّراتِ النُّبوَّةِ إلَّا الرُّؤيا الصَّالحةُ يراها المُسلِمُ أو تُرَى له ) ثمَّ قال : ( ألَا إنِّي نُهِيتُ أنْ أقرَأَ راكعًا وساجدًا أمَّا الرُّكوعُ فعظِّموا فيه الرَّبَّ وأمَّا السُّجودُ فاجتهِدوا في الدُّعاءِ فقَمِنٌ أنْ يُستجابَ لكم ).","عبدالله بن عباس","صحيح ابن حبان","أخرجه في صحيحه"
"أنَّ النَّبيَّ صلَّى اللَّهُ عليهِ وسلَّمَ كشفَ السِّتارةَ والنَّاسُ صفوفٌ خلفَ أبي بَكْرٍ فقالَ: يا أيُّها النَّاسُ إنَّهُ لم يبقَ من مبشِّراتِ النُّبوَّةِ إلَّا الرُّؤيا الصَّالحةِ ، يَراها المسلِمُ أو تُرى لَهُ ، وإنِّي نُهيتُ أن أقرأَ راكعًا أو ساجدًا. فأمَّا الرُّكوعُ فعظِّموا الرَّبَّ فيهِ ، وأمَّا السُّجودُ فاجتَهِدوا في الدُّعاءِ فقَمِنٌ أن يُستجابَ لَكُم.","عبدالله بن عباس","صحيح أبي داود","صحيح"
"كشَف رسولُ اللهِ صلَّى اللهُ عليه وسلَّم السِّتارةَ في مرضِه الَّذي مات فيه والنَّاسُ صفوفٌ خَلْفَ أبي بكرٍ فقال : ( إنَّه لَمْ يَبْقَ مِن مُبشِّراتِ النُّبوَّةِ إلَّا الرُّؤيا الصَّالحةُ يراها المؤمنُ أو تُرَى له ألَا وإنِّي نُهِيتُ أنْ أقرَأَ راكعًا أو ساجدًا أمَّا الرُّكوعُ فعَظِّموا فيه الرَّبَّ وأمَّا السُّجودُ فاجتهِدوا في الدُّعاءِ فقَمِنٌ أنْ يُستجابَ لكم ).","عبدالله بن عباس","صحيح ابن حبان","أخرجه في صحيحه"
